controlNumber,prefLabel,scopeNote
234144,Afrikaner,Hit verk om afrikaner utanför Afrika. Används endast tillsammans med geografiskt ämnesord. För verk om afrikaner i Afrika används t.ex. Nationalkaraktär; Folkseder; Samhällsliv; Traditioner; Sociala förhållanden i kombination med det geografiska ämnesordet Afrika.
j1079tjdgscgsrd0,Afrikaner i konsten,
250179,Afrikaner i litteraturen,
234145,Afrikaner i utlandet,Används för verk om afrikaner i fler än tre länder som inte kan sammanföras i ett vidare geografiskt begrepp. För verk om afrikaner i ett särskilt land eller större område används ämnesordet Afrikaner och lämpligt geografisk ämnesord.
234146,Afrikaner i utlandet--historia,
166862,Afrikansk diaspora,Se även resp lands diaspora genom kombination med geografiskt ämnesord t. ex. Afrikansk diaspora tillsammans med ämnesordet Förenta staterna.
321355,Afrikansk diaspora i litteraturen,
217408,Afrikansk dramatik (franskspråkig),
138947,Afrikansk engelska,
bnvsk60z89zhz4tj,Afrikansk filosofi,
138948,Afrikansk franska,
138949,Afrikansk konst,
138950,Afrikansk litteratur,För litteraturen i sig se Hxp.
215901,Afrikansk litteratur (engelskspråkig),För litteraturen i sig se Hep.
138951,Afrikansk litteratur (engelskspråkig)--historia,
215893,Afrikansk litteratur (franskspråkig),För litteraturen i sig se Hjp.
138952,Afrikansk litteratur (franskspråkig)--historia,
215896,Afrikansk litteratur (portugisiskspråkig),För litteraturen i sig se Hlp.
138953,Afrikansk litteratur (portugisiskspråkig)--historia,
396917,Afrikansk litteratur (spanskspråkig),
215890,Afrikansk litteratur--historia,
370916,Afrikansk matlagning,
216481,Afrikansk poesi (portugisiskspråkig),
138954,Afrikansk portugisiska,
372339,Afrikansk skulptur,
138959,Afrikansk spanska,
345361,Afrikanska  ordspråk,
273778,Afrikanska etniska grupper,
216906,Afrikanska författare,"Särsk Gxpz, Gz (folkbibl)"
354822,Afrikanska influenser,
216480,Afrikanska kvinnliga författare,
374710,Afrikanska lånord,
269915,Afrikanska romaner (portugisiskspråkiga),För genren i sig används SAB-kod Hlp.01.
138960,Afrikanska språk,
374391,Afrikanskt väggmåleri,
143352,Afroamerikaner,
218244,Afroamerikaner i filmen,
329234,Afroamerikaner i konsten,
218245,Afroamerikaner i litteraturen,
171947,Afroamerikaner i massmedia,
gxj8gz2fdq57q5gk,Afroamerikaner i pressen,
s7bqs30qqqwwk7ch,Afroamerikaner i sceniska konsten,
p8vnttfbm076sgsk,Afroamerikaner på tv,
138964,Afroamerikaner--historia,
237817,Afroamerikansk dans,
161088,Afroamerikansk konst,
243677,Afroamerikansk matlagning,
242781,Afroamerikansk musik,
5pb9m9bk3zr38ld3,Afroamerikansk teater,
315381,Afroamerikanska barn,
322456,Afroamerikanska familjer,
319352,Afroamerikanska filosofer,Särsk Dbz.
374730,Afroamerikanska fångar,
